UNDERLAYING,SYMBOL,SPOT_PRICE,FUT1_PRICE,FUT1_DIFF,FUT1_DIFF%,FUT2_PRICE,FUT2_DIFF,FUT2_DIFF%,FUT1_FUT2_%DIFF
Nifty 50,NSE:NIFTY50-INDEX,24980.65,25036.0,55.35,0.22,25175.0,194.35,0.78,0.56
Nifty BANK,NSE:NIFTYBANK-INDEX,55865.15,55960.0,94.85,0.17,56236.0,370.85,0.66,0.49
Nifty FINANCIAL SERVICES,NSE:FINNIFTY-INDEX,26592.3,26650.9,58.6,0.22,26740.4,148.1,0.56,0.34
Nifty MIDCAP SELECT,NSE:MIDCPNIFTY-INDEX,12908.3,12964.0,55.7,0.43,13023.05,114.75,0.89,0.46
Nifty NEXT 50,NSE:NIFTYNXT50-INDEX,67907.45,67971.2,63.75,0.09,68300.0,392.55,0.58,0.48
360 ONE WAM LIMITED,NSE:360ONE-EQ,1078.9,1081.5,2.6,0.24,1084.0,5.1,0.47,0.23
ABB India Limited,NSE:ABB-EQ,5068.0,5085.5,17.5,0.35,5112.0,44.0,0.87,0.52
APL Apollo Tubes Limited,NSE:APLAPOLLO-EQ,1626.3,1620.0,-6.3,-0.39,1629.5,3.2,0.2,0.58
AU Small Finance Bank Limited,NSE:AUBANK-EQ,758.5,757.05,-1.45,-0.19,756.3,-2.2,-0.29,-0.1
Adani Energy Solutions Limited,NSE:ADANIENSOL-EQ,828.2,828.8,0.6,0.07,834.3,6.1,0.74,0.66
Adani Enterprises Limited,NSE:ADANIENT-EQ,2388.4,2381.5,-6.9,-0.29,2396.5,8.1,0.34,0.63
Adani Green Energy Limited,NSE:ADANIGREEN-EQ,973.4,973.75,0.35,0.04,979.8,6.4,0.66,0.62
Adani Ports and Special Economic Zone Limited,NSE:ADANIPORTS-EQ,1369.4,1372.5,3.1,0.23,1381.6,12.2,0.89,0.66
Adani Total Gas Limited,NSE:ATGL-EQ,628.75,631.5,2.75,0.44,NA,NA,NA,NA
Aditya Birla Capital Limited,NSE:ABCAPITAL-EQ,287.35,288.0,0.65,0.23,289.85,2.5,0.87,0.64
Aditya Birla Fashion and Retail Limited,NSE:ABFRL-EQ,77.18,77.55,0.37,0.48,NA,NA,NA,NA
Alkem Laboratories Limited,NSE:ALKEM-EQ,5392.0,5419.0,27.0,0.5,5446.0,54.0,1.0,0.5
Amber Enterprises India Limited,NSE:AMBER-EQ,7368.5,7385.5,17.0,0.23,7419.0,50.5,0.69,0.45
Ambuja Cements Limited,NSE:AMBUJACEM-EQ,592.4,595.2,2.8,0.47,598.45,6.05,1.02,0.55
Angel One Limited,NSE:ANGELONE-EQ,2677.8,2686.0,8.2,0.31,2686.3,8.5,0.32,0.01
Apollo Hospitals Enterprise Limited,NSE:APOLLOHOSP-EQ,7823.5,7840.0,16.5,0.21,7890.5,67.0,0.86,0.65
Ashok Leyland Limited,NSE:ASHOKLEY-EQ,133.28,133.4,0.12,0.09,134.1,0.82,0.62,0.53
Asian Paints Limited,NSE:ASIANPAINT-EQ,2579.4,2578.8,-0.6,-0.02,2591.0,11.6,0.45,0.47
Astral Limited,NSE:ASTRAL-EQ,1366.1,1372.8,6.7,0.49,1375.0,8.9,0.65,0.16
Aurobindo Pharma Limited,NSE:AUROPHARMA-EQ,1089.7,1090.5,0.8,0.07,1097.0,7.3,0.67,0.6
Avenue Supermarts Limited,NSE:DMART-EQ,4653.2,4628.3,-24.9,-0.54,4607.0,-46.2,-0.99,-0.46
Axis Bank Limited,NSE:AXISBANK-EQ,1083.2,1087.7,4.5,0.42,1093.9,10.7,0.99,0.57
BSE Limited,NSE:BSE-EQ,2491.5,2503.0,11.5,0.46,2512.1,20.6,0.83,0.37
Bajaj Auto Limited,NSE:BAJAJ-AUTO-EQ,8795.5,8798.0,2.5,0.03,8840.0,44.5,0.51,0.48
Bajaj Finance Limited,NSE:BAJFINANCE-EQ,902.3,904.1,1.8,0.2,909.0,6.7,0.74,0.54
Bajaj Finserv Limited,NSE:BAJAJFINSV-EQ,1972.2,1979.8,7.6,0.39,1990.9,18.7,0.95,0.56
Bandhan Bank Limited,NSE:BANDHANBNK-EQ,174.01,174.4,0.39,0.22,175.48,1.47,0.84,0.62
Bank of Baroda,NSE:BANKBARODA-EQ,247.05,247.73,0.68,0.28,249.05,2.0,0.81,0.53
Bank of India,NSE:BANKINDIA-EQ,116.49,116.94,0.45,0.39,117.46,0.97,0.83,0.45
Bharat Dynamics Limited,NSE:BDL-EQ,1549.1,1555.8,6.7,0.43,1562.0,12.9,0.83,0.4
Bharat Electronics Limited,NSE:BEL-EQ,380.05,380.6,0.55,0.14,382.75,2.7,0.71,0.57
Bharat Forge Limited,NSE:BHARATFORG-EQ,1188.5,1194.0,5.5,0.46,1199.5,11.0,0.93,0.46
Bharat Heavy Electricals Limited,NSE:BHEL-EQ,219.7,220.23,0.53,0.24,221.39,1.69,0.77,0.53
Bharat Petroleum Corporation Limited,NSE:BPCL-EQ,321.45,322.25,0.8,0.25,323.5,2.05,0.64,0.39
Bharti Airtel Limited,NSE:BHARTIARTL-EQ,1909.7,1915.9,6.2,0.32,1927.4,17.7,0.93,0.6
Biocon Limited,NSE:BIOCON-EQ,363.85,364.4,0.55,0.15,366.35,2.5,0.69,0.54
Blue Star Limited,NSE:BLUESTARCO-EQ,1928.8,1928.0,-0.8,-0.04,1926.3,-2.5,-0.13,-0.09
Bosch Limited,NSE:BOSCHLTD-EQ,39860.0,39980.0,120.0,0.3,40180.0,320.0,0.8,0.5
Britannia Industries Limited,NSE:BRITANNIA-EQ,5499.0,5523.0,24.0,0.44,5547.0,48.0,0.87,0.44
CESC Limited,NSE:CESC-EQ,164.63,165.51,0.88,0.53,NA,NA,NA,NA
CG Power and Industrial Solutions Limited,NSE:CGPOWER-EQ,676.8,677.15,0.35,0.05,681.3,4.5,0.66,0.61
Canara Bank,NSE:CANBK-EQ,111.67,112.14,0.47,0.42,112.8,1.13,1.01,0.59
Central Depository Services (India) Limited,NSE:CDSL-EQ,1581.7,1588.0,6.3,0.4,1591.0,9.3,0.59,0.19
Cholamandalam Investment and Finance Company Limited,NSE:CHOLAFIN-EQ,1527.9,1528.0,0.1,0.01,1531.0,3.1,0.2,0.2
Cipla Limited,NSE:CIPLA-EQ,1548.9,1552.7,3.8,0.25,1560.1,11.2,0.72,0.48
Coal India Limited,NSE:COALINDIA-EQ,385.35,381.1,-4.25,-1.1,383.35,-2.0,-0.52,0.58
Coforge Limited,NSE:COFORGE-EQ,1652.7,1660.4,7.7,0.47,1669.0,16.3,0.99,0.52
Colgate Palmolive (India) Limited,NSE:COLPAL-EQ,2273.5,2280.8,7.3,0.32,2291.3,17.8,0.78,0.46
Computer Age Management Services Limited,NSE:CAMS-EQ,3835.8,3841.0,5.2,0.14,3860.6,24.8,0.65,0.51
Container Corporation of India Limited,NSE:CONCOR-EQ,555.0,557.0,2.0,0.36,559.8,4.8,0.86,0.5
Crompton Greaves Consumer Electricals Limited,NSE:CROMPTON-EQ,329.5,330.75,1.25,0.38,332.85,3.35,1.02,0.64
Cummins India Limited,NSE:CUMMINSIND-EQ,3752.0,3760.0,8.0,0.21,3776.4,24.4,0.65,0.44
Cyient Limited,NSE:CYIENT-EQ,1209.2,1211.7,2.5,0.21,1217.0,7.8,0.65,0.44
DLF Limited,NSE:DLF-EQ,776.1,778.3,2.2,0.28,782.5,6.4,0.82,0.54
Dabur India Limited,NSE:DABUR-EQ,522.05,523.1,1.05,0.2,525.75,3.7,0.71,0.51
Dalmia Bharat Limited,NSE:DALBHARAT-EQ,2346.5,2338.8,-7.7,-0.33,2347.0,0.5,0.02,0.35
Delhivery Limited,NSE:DELHIVERY-EQ,471.7,473.5,1.8,0.38,475.15,3.45,0.73,0.35
Divi's Laboratories Limited,NSE:DIVISLAB-EQ,6079.5,6108.0,28.5,0.47,6140.0,60.5,1.0,0.53
Dixon Technologies (India) Limited,NSE:DIXON-EQ,16905.0,16976.0,71.0,0.42,17057.0,152.0,0.9,0.48
Dr. Reddy's Laboratories Limited,NSE:DRREDDY-EQ,1244.2,1244.0,-0.2,-0.02,1246.7,2.5,0.2,0.22
ETERNAL LIMITED,NSE:ETERNAL-EQ,321.45,321.05,-0.4,-0.12,323.0,1.55,0.48,0.61
Eicher Motors Limited,NSE:EICHERMOT-EQ,5938.5,5955.0,16.5,0.28,5982.5,44.0,0.74,0.46
Exide Industries Limited,NSE:EXIDEIND-EQ,392.8,395.75,2.95,0.75,398.0,5.2,1.32,0.57
FSN E-Commerce Ventures Limited,NSE:NYKAA-EQ,226.83,225.13,-1.7,-0.75,223.75,-3.08,-1.36,-0.61
Fortis Healthcare Limited,NSE:FORTIS-EQ,948.9,950.6,1.7,0.18,954.25,5.35,0.56,0.38
GAIL (India) Limited,NSE:GAIL-EQ,174.89,175.8,0.91,0.52,176.64,1.75,1.0,0.48
GMR AIRPORTS LIMITED,NSE:GMRAIRPORT-EQ,90.44,90.92,0.48,0.53,91.2,0.76,0.84,0.31
Glenmark Pharmaceuticals Limited,NSE:GLENMARK-EQ,1945.8,1945.7,-0.1,-0.01,1955.8,10.0,0.51,0.52
Godrej Consumer Products Limited,NSE:GODREJCP-EQ,1218.7,1224.8,6.1,0.5,1231.8,13.1,1.07,0.57
Godrej Properties Limited,NSE:GODREJPROP-EQ,2010.0,2018.8,8.8,0.44,2030.4,20.4,1.01,0.58
Granules India Limited,NSE:GRANULES-EQ,458.05,459.65,1.6,0.35,NA,NA,NA,NA
Grasim Industries Limited,NSE:GRASIM-EQ,2828.3,2832.6,4.3,0.15,2848.0,19.7,0.7,0.54
HCL Technologies Limited,NSE:HCLTECH-EQ,1476.1,1483.3,7.2,0.49,1491.6,15.5,1.05,0.56
HDFC Asset Management Company Limited,NSE:HDFCAMC-EQ,5719.0,5721.0,2.0,0.03,5742.0,23.0,0.4,0.37
HDFC Bank Limited,NSE:HDFCBANK-EQ,1991.1,1994.5,3.4,0.17,2006.0,14.9,0.75,0.58
HDFC Life Insurance Company Limited,NSE:HDFCLIFE-EQ,793.75,795.25,1.5,0.19,800.0,6.25,0.79,0.6
