UNDERLAYING,SYMBOL,SPOT_PRICE,FUT1_PRICE,FUT1_DIFF,FUT1_DIFF%,FUT2_PRICE,FUT2_DIFF,FUT2_DIFF%,FUT1_FUT2_%DIFF
360 ONE WAM LIMITED,NSE:360ONE-EQ,1078.9,1081.5,2.6,0.24,1084.0,5.1,0.47,0.23
AU Small Finance Bank Limited,NSE:AUBANK-EQ,758.5,757.05,-1.45,-0.19,756.3,-2.2,-0.29,-0.1
Angel One Limited,NSE:ANGELONE-EQ,2677.8,2686.0,8.2,0.31,2686.3,8.5,0.32,0.01
Astral Limited,NSE:ASTRAL-EQ,1366.1,1372.8,6.7,0.49,1375.0,8.9,0.65,0.16
Avenue Supermarts Limited,NSE:DMART-EQ,4653.2,4628.3,-24.9,-0.54,4607.0,-46.2,-0.99,-0.46
Blue Star Limited,NSE:BLUESTARCO-EQ,1928.8,1928.0,-0.8,-0.04,1926.3,-2.5,-0.13,-0.09
Central Depository Services (India) Limited,NSE:CDSL-EQ,1581.7,1588.0,6.3,0.4,1591.0,9.3,0.59,0.19
Cholamandalam Investment and Finance Company Limited,NSE:CHOLAFIN-EQ,1527.9,1528.0,0.1,0.01,1531.0,3.1,0.2,0.2
Dr. Reddy's Laboratories Limited,NSE:DRREDDY-EQ,1244.2,1244.0,-0.2,-0.02,1246.7,2.5,0.2,0.22
FSN E-Commerce Ventures Limited,NSE:NYKAA-EQ,226.83,225.13,-1.7,-0.75,223.75,-3.08,-1.36,-0.61
Havells India Limited,NSE:HAVELLS-EQ,1570.0,1570.3,0.3,0.02,1571.7,1.7,0.11,0.09
Hero MotoCorp Limited,NSE:HEROMOTOCO-EQ,5118.2,5127.8,9.6,0.19,5118.0,-0.2,-0.0,-0.19
Housing & Urban Development Corporation Limited,NSE:HUDCO-EQ,214.23,214.46,0.23,0.11,214.55,0.32,0.15,0.04
Indian Renewable Energy Development Agency Limited,NSE:IREDA-EQ,148.91,148.87,-0.04,-0.03,148.9,-0.01,-0.01,0.02
Indraprastha Gas Limited,NSE:IGL-EQ,204.54,204.92,0.38,0.19,204.4,-0.14,-0.07,-0.25
InterGlobe Aviation Limited,NSE:INDIGO-EQ,6055.5,6072.5,17.0,0.28,6086.0,30.5,0.5,0.22
KPIT Technologies Limited,NSE:KPITTECH-EQ,1199.5,1207.7,8.2,0.68,1206.1,6.6,0.55,-0.13
Kfin Technologies Limited,NSE:KFINTECH-EQ,1125.4,1126.8,1.4,0.12,1130.0,4.6,0.41,0.28
LTIMindtree Limited,NSE:LTIM-EQ,5111.0,5116.5,5.5,0.11,5124.0,13.0,0.25,0.15
NTPC Limited,NSE:NTPC-EQ,335.05,336.4,1.35,0.4,335.1,0.05,0.01,-0.39
National Aluminium Company Limited,NSE:NATIONALUM-EQ,191.31,192.0,0.69,0.36,190.7,-0.61,-0.32,-0.68
Nuvama Wealth Management Limited,NSE:NUVAMA-EQ,6789.5,6798.0,8.5,0.13,6810.0,20.5,0.3,0.18
Oil & Natural Gas Corporation Limited,NSE:ONGC-EQ,237.94,238.68,0.74,0.31,238.56,0.62,0.26,-0.05
Oil India Limited,NSE:OIL-EQ,408.1,408.15,0.05,0.01,408.35,0.25,0.06,0.05
PG Electroplast Limited,NSE:PGEL-EQ,540.3,546.25,5.95,1.1,546.25,5.95,1.1,0.0
Page Industries Limited,NSE:PAGEIND-EQ,45640.0,45745.0,105.0,0.23,44760.0,-880.0,-1.93,-2.16
Piramal Pharma Limited,NSE:PPLPHARMA-EQ,194.21,194.36,0.15,0.08,196.06,1.85,0.95,0.88
RBL Bank Limited,NSE:RBLBANK-EQ,261.75,262.15,0.4,0.15,262.3,0.55,0.21,0.06
Rail Vikas Nigam Limited,NSE:RVNL-EQ,327.75,325.85,-1.9,-0.58,323.5,-4.25,-1.3,-0.72
SBI Cards and Payment Services Limited,NSE:SBICARD-EQ,820.1,818.35,-1.75,-0.21,818.75,-1.35,-0.16,0.05
SHREE CEMENT LIMITED,NSE:SHREECEM-EQ,30905.0,31040.0,135.0,0.44,31100.0,195.0,0.63,0.19
Sona BLW Precision Forgings Limited,NSE:SONACOMS-EQ,455.25,458.55,3.3,0.72,459.6,4.35,0.96,0.23
Steel Authority of India Limited,NSE:SAIL-EQ,122.98,123.0,0.02,0.02,122.5,-0.48,-0.39,-0.41
TITAGARH RAIL SYSTEMS LIMITED,NSE:TITAGARH-EQ,828.6,835.95,7.35,0.89,830.0,1.4,0.17,-0.72
TVS Motor Company Limited,NSE:TVSMOTOR-EQ,3251.9,3229.0,-22.9,-0.7,3236.6,-15.3,-0.47,0.23
Tata Elxsi Limited,NSE:TATAELXSI-EQ,5726.5,5736.0,9.5,0.17,5720.0,-6.5,-0.11,-0.28
UNO Minda Limited,NSE:UNOMINDA-EQ,1219.9,1223.8,3.9,0.32,1226.2,6.3,0.52,0.2
UPL Limited,NSE:UPL-EQ,707.3,705.65,-1.65,-0.23,707.3,0.0,0.0,0.23
Voltas Limited,NSE:VOLTAS-EQ,1378.9,1376.0,-2.9,-0.21,1374.0,-4.9,-0.36,-0.15
Wipro Limited,NSE:WIPRO-EQ,246.96,246.01,-0.95,-0.38,245.55,-1.41,-0.57,-0.19
