SYMBOLTYPE,SYMBOLNAME,SYMBOL,FUT1,FUT2,FUT3
INDICES,Nifty 50,NSE:NIFTY50-INDEX,NSE:NIFTY25AUGFUT,NSE:NIFTY25SEPFUT,NSE:NIFTY25OCTFUT
INDICES,Nifty BANK,NSE:NIFTYBANK-INDEX,NSE:BANKNIFTY25AUGFUT,NSE:BANKNIFTY25SEPFUT,NSE:BANKNIFTY25OCTFUT
INDICES,Nifty FINANCIAL SERVICES,NSE:FINNIFTY-INDEX,NSE:FINNIFTY25AUGFUT,NSE:FINNIFTY25SEPFUT,NSE:FINNIFTY25OCTFUT
INDICES,Nifty MIDCAP SELECT,NSE:MIDCPNIFTY-INDEX,NSE:MIDCPNIFTY25AUGFUT,NSE:MIDCPNIFTY25SEPFUT,NSE:MIDCPNIFTY25OCTFUT
INDICES,Nifty NEXT 50,NSE:NIFTYNXT50-INDEX,NSE:NIFTYNXT5025AUGFUT,NSE:NIFTYNXT5025SEPFUT,NSE:NIFTYNXT5025OCTFUT
STOCKS,360 ONE WAM LIMITED,NSE:360ONE-EQ,NSE:360ONE25AUGFUT,NSE:360ONE25SEPFUT,NSE:360ONE25OCTFUT
STOCKS,ABB India Limited,NSE:ABB-EQ,NSE:ABB25AUGFUT,NSE:ABB25SEPFUT,NSE:ABB25OCTFUT
STOCKS,APL Apollo Tubes Limited,NSE:APLAPOLLO-EQ,NSE:APLAPOLLO25AUGFUT,NSE:APLAPOLLO25SEPFUT,NSE:APLAPOLLO25OCTFUT
STOCKS,AU Small Finance Bank Limited,NSE:AUBANK-EQ,NSE:AUBANK25AUGFUT,NSE:AUBANK25SEPFUT,NSE:AUBANK25OCTFUT
STOCKS,Adani Energy Solutions Limited,NSE:ADANIENSOL-EQ,NSE:ADANIENSOL25AUGFUT,NSE:ADANIENSOL25SEPFUT,NSE:ADANIENSOL25OCTFUT
STOCKS,Adani Enterprises Limited,NSE:ADANIENT-EQ,NSE:ADANIENT25AUGFUT,NSE:ADANIENT25SEPFUT,NSE:ADANIENT25OCTFUT
STOCKS,Adani Green Energy Limited,NSE:ADANIGREEN-EQ,NSE:ADANIGREEN25AUGFUT,NSE:ADANIGREEN25SEPFUT,NSE:ADANIGREEN25OCTFUT
STOCKS,Adani Ports and Special Economic Zone Limited,NSE:ADANIPORTS-EQ,NSE:ADANIPORTS25AUGFUT,NSE:ADANIPORTS25SEPFUT,NSE:ADANIPORTS25OCTFUT
STOCKS,Adani Total Gas Limited,NSE:ATGL-EQ,NSE:ATGL25AUGFUT,NSE:ATGL25SEPFUT,NSE:ATGL25OCTFUT
STOCKS,Aditya Birla Capital Limited,NSE:ABCAPITAL-EQ,NSE:ABCAPITAL25AUGFUT,NSE:ABCAPITAL25SEPFUT,NSE:ABCAPITAL25OCTFUT
STOCKS,Aditya Birla Fashion and Retail Limited,NSE:ABFRL-EQ,NSE:ABFRL25AUGFUT,NSE:ABFRL25SEPFUT,NSE:ABFRL25OCTFUT
STOCKS,Alkem Laboratories Limited,NSE:ALKEM-EQ,NSE:ALKEM25AUGFUT,NSE:ALKEM25SEPFUT,NSE:ALKEM25OCTFUT
STOCKS,Amber Enterprises India Limited,NSE:AMBER-EQ,NSE:AMBER25AUGFUT,NSE:AMBER25SEPFUT,NSE:AMBER25OCTFUT
STOCKS,Ambuja Cements Limited,NSE:AMBUJACEM-EQ,NSE:AMBUJACEM25AUGFUT,NSE:AMBUJACEM25SEPFUT,NSE:AMBUJACEM25OCTFUT
STOCKS,Angel One Limited,NSE:ANGELONE-EQ,NSE:ANGELONE25AUGFUT,NSE:ANGELONE25SEPFUT,NSE:ANGELONE25OCTFUT
STOCKS,Apollo Hospitals Enterprise Limited,NSE:APOLLOHOSP-EQ,NSE:APOLLOHOSP25AUGFUT,NSE:APOLLOHOSP25SEPFUT,NSE:APOLLOHOSP25OCTFUT
STOCKS,Ashok Leyland Limited,NSE:ASHOKLEY-EQ,NSE:ASHOKLEY25AUGFUT,NSE:ASHOKLEY25SEPFUT,NSE:ASHOKLEY25OCTFUT
STOCKS,Asian Paints Limited,NSE:ASIANPAINT-EQ,NSE:ASIANPAINT25AUGFUT,NSE:ASIANPAINT25SEPFUT,NSE:ASIANPAINT25OCTFUT
STOCKS,Astral Limited,NSE:ASTRAL-EQ,NSE:ASTRAL25AUGFUT,NSE:ASTRAL25SEPFUT,NSE:ASTRAL25OCTFUT
STOCKS,Aurobindo Pharma Limited,NSE:AUROPHARMA-EQ,NSE:AUROPHARMA25AUGFUT,NSE:AUROPHARMA25SEPFUT,NSE:AUROPHARMA25OCTFUT
STOCKS,Avenue Supermarts Limited,NSE:DMART-EQ,NSE:DMART25AUGFUT,NSE:DMART25SEPFUT,NSE:DMART25OCTFUT
STOCKS,Axis Bank Limited,NSE:AXISBANK-EQ,NSE:AXISBANK25AUGFUT,NSE:AXISBANK25SEPFUT,NSE:AXISBANK25OCTFUT
STOCKS,BSE Limited,NSE:BSE-EQ,NSE:BSE25AUGFUT,NSE:BSE25SEPFUT,NSE:BSE25OCTFUT
STOCKS,Bajaj Auto Limited,NSE:BAJAJ-AUTO-EQ,NSE:BAJAJ-AUTO25AUGFUT,NSE:BAJAJ-AUTO25SEPFUT,NSE:BAJAJ-AUTO25OCTFUT
STOCKS,Bajaj Finance Limited,NSE:BAJFINANCE-EQ,NSE:BAJFINANCE25AUGFUT,NSE:BAJFINANCE25SEPFUT,NSE:BAJFINANCE25OCTFUT
STOCKS,Bajaj Finserv Limited,NSE:BAJAJFINSV-EQ,NSE:BAJAJFINSV25AUGFUT,NSE:BAJAJFINSV25SEPFUT,NSE:BAJAJFINSV25OCTFUT
STOCKS,Bandhan Bank Limited,NSE:BANDHANBNK-EQ,NSE:BANDHANBNK25AUGFUT,NSE:BANDHANBNK25SEPFUT,NSE:BANDHANBNK25OCTFUT
STOCKS,Bank of Baroda,NSE:BANKBARODA-EQ,NSE:BANKBARODA25AUGFUT,NSE:BANKBARODA25SEPFUT,NSE:BANKBARODA25OCTFUT
STOCKS,Bank of India,NSE:BANKINDIA-EQ,NSE:BANKINDIA25AUGFUT,NSE:BANKINDIA25SEPFUT,NSE:BANKINDIA25OCTFUT
STOCKS,Bharat Dynamics Limited,NSE:BDL-EQ,NSE:BDL25AUGFUT,NSE:BDL25SEPFUT,NSE:BDL25OCTFUT
STOCKS,Bharat Electronics Limited,NSE:BEL-EQ,NSE:BEL25AUGFUT,NSE:BEL25SEPFUT,NSE:BEL25OCTFUT
STOCKS,Bharat Forge Limited,NSE:BHARATFORG-EQ,NSE:BHARATFORG25AUGFUT,NSE:BHARATFORG25SEPFUT,NSE:BHARATFORG25OCTFUT
STOCKS,Bharat Heavy Electricals Limited,NSE:BHEL-EQ,NSE:BHEL25AUGFUT,NSE:BHEL25SEPFUT,NSE:BHEL25OCTFUT
STOCKS,Bharat Petroleum Corporation Limited,NSE:BPCL-EQ,NSE:BPCL25AUGFUT,NSE:BPCL25SEPFUT,NSE:BPCL25OCTFUT
STOCKS,Bharti Airtel Limited,NSE:BHARTIARTL-EQ,NSE:BHARTIARTL25AUGFUT,NSE:BHARTIARTL25SEPFUT,NSE:BHARTIARTL25OCTFUT
STOCKS,Biocon Limited,NSE:BIOCON-EQ,NSE:BIOCON25AUGFUT,NSE:BIOCON25SEPFUT,NSE:BIOCON25OCTFUT
STOCKS,Blue Star Limited,NSE:BLUESTARCO-EQ,NSE:BLUESTARCO25AUGFUT,NSE:BLUESTARCO25SEPFUT,NSE:BLUESTARCO25OCTFUT
STOCKS,Bosch Limited,NSE:BOSCHLTD-EQ,NSE:BOSCHLTD25AUGFUT,NSE:BOSCHLTD25SEPFUT,NSE:BOSCHLTD25OCTFUT
STOCKS,Britannia Industries Limited,NSE:BRITANNIA-EQ,NSE:BRITANNIA25AUGFUT,NSE:BRITANNIA25SEPFUT,NSE:BRITANNIA25OCTFUT
STOCKS,CESC Limited,NSE:CESC-EQ,NSE:CESC25AUGFUT,NSE:CESC25SEPFUT,NSE:CESC25OCTFUT
STOCKS,CG Power and Industrial Solutions Limited,NSE:CGPOWER-EQ,NSE:CGPOWER25AUGFUT,NSE:CGPOWER25SEPFUT,NSE:CGPOWER25OCTFUT
STOCKS,Canara Bank,NSE:CANBK-EQ,NSE:CANBK25AUGFUT,NSE:CANBK25SEPFUT,NSE:CANBK25OCTFUT
STOCKS,Central Depository Services (India) Limited,NSE:CDSL-EQ,NSE:CDSL25AUGFUT,NSE:CDSL25SEPFUT,NSE:CDSL25OCTFUT
STOCKS,Cholamandalam Investment and Finance Company Limited,NSE:CHOLAFIN-EQ,NSE:CHOLAFIN25AUGFUT,NSE:CHOLAFIN25SEPFUT,NSE:CHOLAFIN25OCTFUT
STOCKS,Cipla Limited,NSE:CIPLA-EQ,NSE:CIPLA25AUGFUT,NSE:CIPLA25SEPFUT,NSE:CIPLA25OCTFUT
STOCKS,Coal India Limited,NSE:COALINDIA-EQ,NSE:COALINDIA25AUGFUT,NSE:COALINDIA25SEPFUT,NSE:COALINDIA25OCTFUT
STOCKS,Coforge Limited,NSE:COFORGE-EQ,NSE:COFORGE25AUGFUT,NSE:COFORGE25SEPFUT,NSE:COFORGE25OCTFUT
STOCKS,Colgate Palmolive (India) Limited,NSE:COLPAL-EQ,NSE:COLPAL25AUGFUT,NSE:COLPAL25SEPFUT,NSE:COLPAL25OCTFUT
STOCKS,Computer Age Management Services Limited,NSE:CAMS-EQ,NSE:CAMS25AUGFUT,NSE:CAMS25SEPFUT,NSE:CAMS25OCTFUT
STOCKS,Container Corporation of India Limited,NSE:CONCOR-EQ,NSE:CONCOR25AUGFUT,NSE:CONCOR25SEPFUT,NSE:CONCOR25OCTFUT
STOCKS,Crompton Greaves Consumer Electricals Limited,NSE:CROMPTON-EQ,NSE:CROMPTON25AUGFUT,NSE:CROMPTON25SEPFUT,NSE:CROMPTON25OCTFUT
STOCKS,Cummins India Limited,NSE:CUMMINSIND-EQ,NSE:CUMMINSIND25AUGFUT,NSE:CUMMINSIND25SEPFUT,NSE:CUMMINSIND25OCTFUT
STOCKS,Cyient Limited,NSE:CYIENT-EQ,NSE:CYIENT25AUGFUT,NSE:CYIENT25SEPFUT,NSE:CYIENT25OCTFUT
STOCKS,DLF Limited,NSE:DLF-EQ,NSE:DLF25AUGFUT,NSE:DLF25SEPFUT,NSE:DLF25OCTFUT
STOCKS,Dabur India Limited,NSE:DABUR-EQ,NSE:DABUR25AUGFUT,NSE:DABUR25SEPFUT,NSE:DABUR25OCTFUT
STOCKS,Dalmia Bharat Limited,NSE:DALBHARAT-EQ,NSE:DALBHARAT25AUGFUT,NSE:DALBHARAT25SEPFUT,NSE:DALBHARAT25OCTFUT
STOCKS,Delhivery Limited,NSE:DELHIVERY-EQ,NSE:DELHIVERY25AUGFUT,NSE:DELHIVERY25SEPFUT,NSE:DELHIVERY25OCTFUT
STOCKS,Divi's Laboratories Limited,NSE:DIVISLAB-EQ,NSE:DIVISLAB25AUGFUT,NSE:DIVISLAB25SEPFUT,NSE:DIVISLAB25OCTFUT
STOCKS,Dixon Technologies (India) Limited,NSE:DIXON-EQ,NSE:DIXON25AUGFUT,NSE:DIXON25SEPFUT,NSE:DIXON25OCTFUT
STOCKS,Dr. Reddy's Laboratories Limited,NSE:DRREDDY-EQ,NSE:DRREDDY25AUGFUT,NSE:DRREDDY25SEPFUT,NSE:DRREDDY25OCTFUT
STOCKS,ETERNAL LIMITED,NSE:ETERNAL-EQ,NSE:ETERNAL25AUGFUT,NSE:ETERNAL25SEPFUT,NSE:ETERNAL25OCTFUT
STOCKS,Eicher Motors Limited,NSE:EICHERMOT-EQ,NSE:EICHERMOT25AUGFUT,NSE:EICHERMOT25SEPFUT,NSE:EICHERMOT25OCTFUT
STOCKS,Exide Industries Limited,NSE:EXIDEIND-EQ,NSE:EXIDEIND25AUGFUT,NSE:EXIDEIND25SEPFUT,NSE:EXIDEIND25OCTFUT
STOCKS,FSN E-Commerce Ventures Limited,NSE:NYKAA-EQ,NSE:NYKAA25AUGFUT,NSE:NYKAA25SEPFUT,NSE:NYKAA25OCTFUT
STOCKS,Fortis Healthcare Limited,NSE:FORTIS-EQ,NSE:FORTIS25AUGFUT,NSE:FORTIS25SEPFUT,NSE:FORTIS25OCTFUT
STOCKS,GAIL (India) Limited,NSE:GAIL-EQ,NSE:GAIL25AUGFUT,NSE:GAIL25SEPFUT,NSE:GAIL25OCTFUT
STOCKS,GMR AIRPORTS LIMITED,NSE:GMRAIRPORT-EQ,NSE:GMRAIRPORT25AUGFUT,NSE:GMRAIRPORT25SEPFUT,NSE:GMRAIRPORT25OCTFUT
STOCKS,Glenmark Pharmaceuticals Limited,NSE:GLENMARK-EQ,NSE:GLENMARK25AUGFUT,NSE:GLENMARK25SEPFUT,NSE:GLENMARK25OCTFUT
STOCKS,Godrej Consumer Products Limited,NSE:GODREJCP-EQ,NSE:GODREJCP25AUGFUT,NSE:GODREJCP25SEPFUT,NSE:GODREJCP25OCTFUT
STOCKS,Godrej Properties Limited,NSE:GODREJPROP-EQ,NSE:GODREJPROP25AUGFUT,NSE:GODREJPROP25SEPFUT,NSE:GODREJPROP25OCTFUT
STOCKS,Granules India Limited,NSE:GRANULES-EQ,NSE:GRANULES25AUGFUT,NSE:GRANULES25SEPFUT,NSE:GRANULES25OCTFUT
STOCKS,Grasim Industries Limited,NSE:GRASIM-EQ,NSE:GRASIM25AUGFUT,NSE:GRASIM25SEPFUT,NSE:GRASIM25OCTFUT
STOCKS,HCL Technologies Limited,NSE:HCLTECH-EQ,NSE:HCLTECH25AUGFUT,NSE:HCLTECH25SEPFUT,NSE:HCLTECH25OCTFUT
STOCKS,HDFC Asset Management Company Limited,NSE:HDFCAMC-EQ,NSE:HDFCAMC25AUGFUT,NSE:HDFCAMC25SEPFUT,NSE:HDFCAMC25OCTFUT
STOCKS,HDFC Bank Limited,NSE:HDFCBANK-EQ,NSE:HDFCBANK25AUGFUT,NSE:HDFCBANK25SEPFUT,NSE:HDFCBANK25OCTFUT
STOCKS,HDFC Life Insurance Company Limited,NSE:HDFCLIFE-EQ,NSE:HDFCLIFE25AUGFUT,NSE:HDFCLIFE25SEPFUT,NSE:HDFCLIFE25OCTFUT
STOCKS,HFCL Limited,NSE:HFCL-EQ,NSE:HFCL25AUGFUT,NSE:HFCL25SEPFUT,NSE:HFCL25OCTFUT
STOCKS,Havells India Limited,NSE:HAVELLS-EQ,NSE:HAVELLS25AUGFUT,NSE:HAVELLS25SEPFUT,NSE:HAVELLS25OCTFUT
