epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742874300,2025-03-25 09:15:00+05:30,320.75,320.75,286.05,312.9,53700,1742874300,332.3,354.95,330.75,354.95,24375,-42.05000000000001,0.0
1742874600,2025-03-25 09:20:00+05:30,313.8,336.8,313.45,335.65,39000,1742874600,358.9,381.6,356.35,379.5,20775,-43.85000000000002,-0.0013891568589627923
1742874900,2025-03-25 09:25:00+05:30,335.65,335.65,309.3,312.0,54075,1742874900,379.5,382.2,354.25,354.25,21450,-42.25,-0.0014663173499158688
1742875200,2025-03-25 09:30:00+05:30,310.45,310.85,296.0,296.0,50775,1742875200,354.45,354.45,339.4,339.4,14850,-43.39999999999998,-0.0024256351148750355
1742875500,2025-03-25 09:35:00+05:30,295.5,299.1,283.5,288.5,38550,1742875500,339.4,340.15,324.9,327.6,27825,-39.10000000000002,-1.1974144406678988e-05
1742875800,2025-03-25 09:40:00+05:30,288.7,291.0,285.4,289.45,31725,1742875800,327.6,332.85,324.75,330.2,10050,-40.75,0.0009960468841185843
1742876100,2025-03-25 09:45:00+05:30,289.0,295.0,280.15,280.3,45825,1742876100,330.2,335.0,318.65,318.65,12600,-38.349999999999966,0.003800274325996611
1742876400,2025-03-25 09:50:00+05:30,280.3,282.3,268.0,268.95,65325,1742876400,318.65,320.65,305.9,305.9,19650,-36.94999999999999,0.007528367928244961
1742876700,2025-03-25 09:55:00+05:30,269.2,270.4,258.85,262.0,63825,1742876700,306.2,308.45,295.0,297.25,15750,-35.25,0.01235835386027162
1742877000,2025-03-25 10:00:00+05:30,262.15,276.0,261.4,273.15,61950,1742877000,298.35,313.8,297.35,310.05,15450,-36.900000000000034,0.01564075163484091
1742877300,2025-03-25 10:05:00+05:30,271.3,282.1,270.0,280.3,34500,1742877300,309.9,320.0,307.0,318.5,12150,-38.19999999999999,0.017727941233729894
1742877600,2025-03-25 10:10:00+05:30,281.15,296.0,278.55,296.0,86625,1742877600,319.35,333.65,317.15,333.65,16950,-37.64999999999998,0.02011154726884712
1742877900,2025-03-25 10:15:00+05:30,298.35,302.1,280.0,287.65,60225,1742877900,337.25,344.05,319.75,329.15,29700,-41.5,0.01937777142030228
1742878200,2025-03-25 10:20:00+05:30,286.05,286.95,277.45,277.85,30000,1742878200,329.15,329.15,315.45,315.45,48975,-37.599999999999966,0.021679087459716584
1742878500,2025-03-25 10:25:00+05:30,277.85,282.3,274.15,281.75,49275,1742878500,315.45,320.75,312.0,316.05,11550,-34.30000000000001,0.02638436064653149
1742878800,2025-03-25 10:30:00+05:30,281.75,291.75,280.35,291.75,23175,1742878800,319.85,330.25,318.35,330.25,10725,-38.5,0.027570082409916097
1742879100,2025-03-25 10:35:00+05:30,292.15,315.0,288.65,302.9,84825,1742879100,330.25,358.8,328.75,348.55,54375,-45.650000000000034,0.023151516056294952
1742879400,2025-03-25 10:40:00+05:30,304.25,315.0,295.1,298.85,75675,1742879400,348.55,357.05,335.7,340.2,34200,-41.349999999999966,0.02227573704208652
1742879700,2025-03-25 10:45:00+05:30,298.85,309.5,296.65,305.7,45600,1742879700,339.35,350.95,337.45,348.3,9750,-42.60000000000002,0.020466062270955376
1742880000,2025-03-25 10:50:00+05:30,306.15,316.35,302.5,314.35,20250,1742880000,348.3,358.6,346.2,357.2,2325,-42.849999999999966,0.018546814547079293
1742880300,2025-03-25 10:55:00+05:30,314.35,346.7,314.35,322.6,71175,1742880300,357.2,392.35,357.2,362.7,15525,-40.099999999999966,0.01884074048621187
1742880600,2025-03-25 11:00:00+05:30,322.6,336.6,321.3,322.9,35400,1742880600,366.25,378.7,366.25,366.95,5475,-44.05000000000001,0.016055592929568263
1742880900,2025-03-25 11:05:00+05:30,320.85,331.45,310.25,329.3,29325,1742880900,364.1,376.3,352.95,375.95,11175,-46.64999999999998,0.011404105325524938
1742881200,2025-03-25 11:10:00+05:30,331.45,331.45,317.25,320.65,18975,1742881200,373.95,373.95,362.9,363.45,3375,-42.80000000000001,0.009969944763398075
1742881500,2025-03-25 11:15:00+05:30,320.65,325.85,308.55,313.9,20175,1742881500,361.05,366.0,353.9,357.05,6450,-43.150000000000034,0.008336560165112417
1742881800,2025-03-25 11:20:00+05:30,313.9,334.0,313.9,333.0,10650,1742881800,356.85,377.75,356.85,377.75,5550,-44.75,0.005551436223832695
1742882100,2025-03-25 11:25:00+05:30,333.65,339.0,326.85,330.0,21525,1742882100,377.75,381.95,372.8,380.75,4050,-50.75,-0.0017158853916896533
1742882400,2025-03-25 11:30:00+05:30,330.0,334.0,319.0,322.6,21750,1742882400,380.75,380.75,362.75,365.15,4875,-42.549999999999955,-0.002255292116146279
1742882700,2025-03-25 11:35:00+05:30,322.6,340.0,321.05,340.0,9450,1742882700,365.15,386.95,365.15,386.95,4875,-46.94999999999999,-0.0061591185438274465
1742883000,2025-03-25 11:40:00+05:30,340.0,343.85,331.1,337.0,17100,1742883000,385.5,389.2,380.9,385.8,4875,-48.80000000000001,-0.011272027900382398
1742883300,2025-03-25 11:45:00+05:30,335.25,338.8,326.6,338.8,18600,1742883300,385.8,385.8,370.55,382.45,3750,-43.64999999999998,-0.0121215464854032
1742883600,2025-03-25 11:50:00+05:30,338.0,343.0,321.1,324.75,15600,1742883600,382.45,390.45,366.8,368.7,13725,-43.94999999999999,-0.013146687400329427
1742883900,2025-03-25 11:55:00+05:30,324.75,328.65,311.85,311.85,23175,1742883900,368.7,372.45,357.55,357.55,1650,-45.69999999999999,-0.015456079372668796
1742884200,2025-03-25 12:00:00+05:30,310.8,317.4,310.0,315.0,16950,1742884200,353.3,360.5,353.05,357.9,5325,-42.89999999999998,-0.015466090361471174
1742884500,2025-03-25 12:05:00+05:30,315.0,317.75,303.0,304.45,21300,1742884500,357.9,360.1,344.1,347.25,1950,-42.80000000000001,-0.015386441407727602
1742884800,2025-03-25 12:10:00+05:30,304.2,321.75,304.2,315.7,17850,1742884800,347.15,364.0,347.0,364.0,6075,-48.30000000000001,-0.01954392819336448
1742885100,2025-03-25 12:15:00+05:30,318.65,332.25,314.45,328.0,20625,1742885100,364.0,371.0,359.0,371.0,4275,-43.0,-0.01936822918700898
1742885400,2025-03-25 12:20:00+05:30,328.0,331.95,314.55,317.1,6825,1742885400,371.0,374.85,357.45,359.3,2700,-42.19999999999999,-0.018569806970361924
1742885700,2025-03-25 12:25:00+05:30,315.0,325.1,311.15,311.15,9300,1742885700,359.3,367.0,358.75,358.75,9900,-47.60000000000002,-0.021968273173868624
1742886000,2025-03-25 12:30:00+05:30,311.15,317.25,305.0,317.25,10500,1742886000,358.5,362.5,352.75,360.8,1125,-43.55000000000001,-0.022037965019954697
1742886300,2025-03-25 12:35:00+05:30,318.45,320.85,308.05,308.05,11775,1742886300,360.8,366.0,351.5,355.6,4275,-47.55000000000001,-0.025173845493412728
1742886600,2025-03-25 12:40:00+05:30,308.05,313.95,302.8,303.75,8850,1742886600,355.6,357.45,353.45,353.75,1950,-50.0,-0.03000926572445195
1742886900,2025-03-25 12:45:00+05:30,303.75,308.0,298.9,301.4,8400,1742886900,353.75,353.75,340.55,345.0,12675,-43.60000000000002,-0.029617347269692118
1742887200,2025-03-25 12:50:00+05:30,301.4,311.5,299.4,309.8,12075,1742887200,344.4,355.15,342.75,352.25,5025,-42.44999999999999,-0.02833652961602695
1742887500,2025-03-25 12:55:00+05:30,309.8,310.0,303.55,306.3,10350,1742887500,352.25,354.25,346.5,348.6,2400,-42.30000000000001,-0.026988261855315443
1742887800,2025-03-25 13:00:00+05:30,306.3,313.65,302.8,309.7,10950,1742887800,348.6,355.0,346.5,353.1,1800,-43.400000000000034,-0.026541972677783576
1742888100,2025-03-25 13:05:00+05:30,309.9,312.0,303.0,304.0,8250,1742888100,353.1,354.0,346.45,348.0,675,-44.0,-0.02656270611952749
1742888400,2025-03-25 13:10:00+05:30,304.0,307.6,303.1,307.6,7950,1742888400,348.0,351.2,345.8,351.2,300,-43.599999999999966,-0.026253102088389824
1742888700,2025-03-25 13:15:00+05:30,307.9,322.1,306.25,318.9,20550,1742888700,351.2,365.25,349.05,359.2,5550,-40.30000000000001,-0.023393414155364667
1742889000,2025-03-25 13:20:00+05:30,317.7,319.15,300.8,303.1,24600,1742889000,359.2,359.2,344.35,346.0,2025,-42.89999999999998,-0.02267892740241706
1742889300,2025-03-25 13:25:00+05:30,301.75,309.75,301.7,309.0,9675,1742889300,347.4,352.55,346.0,352.55,2700,-43.55000000000001,-0.022487728036729493
1742889600,2025-03-25 13:30:00+05:30,309.0,309.0,300.4,302.25,6675,1742889600,352.55,352.55,344.25,344.75,825,-42.5,-0.021479308857763613
1742889900,2025-03-25 13:35:00+05:30,301.8,303.0,287.75,289.95,23850,1742889900,344.75,345.55,331.0,331.75,2100,-41.80000000000001,-0.019969341118383
1742890200,2025-03-25 13:40:00+05:30,288.0,298.8,288.0,294.3,11625,1742890200,331.45,341.95,331.45,341.55,2025,-47.25,-0.022732758189633273
1742890500,2025-03-25 13:45:00+05:30,294.3,297.75,288.35,288.35,10725,1742890500,341.55,341.55,331.85,332.15,2700,-43.799999999999955,-0.022664660408295845
1742890800,2025-03-25 13:50:00+05:30,286.5,290.95,280.45,286.15,17625,1742890800,328.3,335.0,326.05,327.7,6600,-41.55000000000001,-0.020846356400497257
1742891100,2025-03-25 13:55:00+05:30,286.15,289.5,284.35,287.35,18300,1742891100,327.7,331.6,326.6,329.1,22125,-41.75,-0.019265947996132127
1742891400,2025-03-25 14:00:00+05:30,288.0,294.15,285.85,286.25,5625,1742891400,329.65,333.6,326.6,328.05,3750,-41.80000000000001,-0.01779585643430437
1742891700,2025-03-25 14:05:00+05:30,285.8,289.7,285.8,287.55,11925,1742891700,328.05,331.85,328.05,329.95,3000,-42.39999999999998,-0.01685563610107721
1742892000,2025-03-25 14:10:00+05:30,288.05,289.3,282.95,286.0,11550,1742892000,329.95,331.4,325.15,328.2,2025,-42.19999999999999,-0.01579957552671374
1742892300,2025-03-25 14:15:00+05:30,286.0,291.8,285.0,290.65,11925,1742892300,326.1,334.25,326.1,332.3,675,-41.650000000000034,-0.014364723306783844
1742892600,2025-03-25 14:20:00+05:30,290.7,297.5,288.85,293.55,53325,1742892600,332.3,340.0,330.75,336.0,2175,-42.44999999999999,-0.01361481014478727
