epoch,datetime_ist,open,high,low,close,volume
1742874300,2025-03-25 09:15:00+05:30,52.2,57.5,51.8,57.4,68400
1742874600,2025-03-25 09:20:00+05:30,57.5,61.9,57.5,61.35,41400
1742874900,2025-03-25 09:25:00+05:30,61.15,61.15,54.7,54.95,109650
1742875200,2025-03-25 09:30:00+05:30,54.65,54.8,52.25,53.4,41175
1742875500,2025-03-25 09:35:00+05:30,53.45,53.9,52.05,52.65,34425
1742875800,2025-03-25 09:40:00+05:30,52.65,53.7,52.6,52.9,21675
1742876100,2025-03-25 09:45:00+05:30,52.95,54.0,51.65,51.8,52200
1742876400,2025-03-25 09:50:00+05:30,51.9,52.45,49.35,49.4,76500
1742876700,2025-03-25 09:55:00+05:30,49.25,49.9,48.3,49.6,99075
1742877000,2025-03-25 10:00:00+05:30,49.4,51.8,49.35,51.5,48750
1742877300,2025-03-25 10:05:00+05:30,51.5,52.75,50.55,52.55,78900
1742877600,2025-03-25 10:10:00+05:30,52.7,53.6,51.8,53.05,41025
1742877900,2025-03-25 10:15:00+05:30,53.95,54.55,51.05,52.7,22200
1742878200,2025-03-25 10:20:00+05:30,52.7,53.85,51.55,53.15,21225
1742878500,2025-03-25 10:25:00+05:30,53.15,53.8,52.2,53.75,18450
1742878800,2025-03-25 10:30:00+05:30,53.65,54.75,52.8,54.0,26100
1742879100,2025-03-25 10:35:00+05:30,54.0,57.0,53.25,55.45,43425
1742879400,2025-03-25 10:40:00+05:30,54.9,57.0,54.0,54.45,25575
1742879700,2025-03-25 10:45:00+05:30,54.45,56.8,54.0,56.2,24150
1742880000,2025-03-25 10:50:00+05:30,56.7,58.2,55.95,57.9,9600
1742880300,2025-03-25 10:55:00+05:30,57.9,64.7,57.9,59.4,48975
1742880600,2025-03-25 11:00:00+05:30,59.8,61.95,59.55,59.55,12600
1742880900,2025-03-25 11:05:00+05:30,59.55,60.85,57.2,60.85,13950
1742881200,2025-03-25 11:10:00+05:30,60.85,60.85,58.1,58.15,21600
1742881500,2025-03-25 11:15:00+05:30,58.15,60.4,57.3,57.8,18300
1742881800,2025-03-25 11:20:00+05:30,58.0,61.55,57.35,61.55,7200
1742882100,2025-03-25 11:25:00+05:30,61.55,63.0,60.6,61.25,12600
1742882400,2025-03-25 11:30:00+05:30,61.25,62.55,58.95,59.0,25050
1742882700,2025-03-25 11:35:00+05:30,59.0,61.2,59.0,61.2,65700
1742883000,2025-03-25 11:40:00+05:30,61.2,61.8,60.0,60.6,34800
1742883300,2025-03-25 11:45:00+05:30,60.3,60.75,59.7,60.5,12450
1742883600,2025-03-25 11:50:00+05:30,61.05,61.95,58.15,58.4,27450
1742883900,2025-03-25 11:55:00+05:30,58.05,59.5,56.25,56.25,18375
1742884200,2025-03-25 12:00:00+05:30,56.1,57.25,55.8,56.7,58050
1742884500,2025-03-25 12:05:00+05:30,56.95,57.4,55.0,55.1,20475
1742884800,2025-03-25 12:10:00+05:30,55.6,57.6,55.3,55.3,25950
1742885100,2025-03-25 12:15:00+05:30,55.3,58.95,54.7,58.2,19725
1742885400,2025-03-25 12:20:00+05:30,58.2,59.25,56.25,56.25,101475
1742885700,2025-03-25 12:25:00+05:30,56.0,57.8,54.95,54.95,30975
1742886000,2025-03-25 12:30:00+05:30,54.95,56.0,54.0,56.0,3375
1742886300,2025-03-25 12:35:00+05:30,56.0,56.9,54.8,54.8,3750
1742886600,2025-03-25 12:40:00+05:30,55.0,55.95,54.0,54.0,12150
1742886900,2025-03-25 12:45:00+05:30,54.0,54.95,53.55,53.85,11325
1742887200,2025-03-25 12:50:00+05:30,53.85,55.45,53.55,54.75,15075
1742887500,2025-03-25 12:55:00+05:30,54.75,55.0,53.8,54.4,4425
1742887800,2025-03-25 13:00:00+05:30,54.4,55.4,54.15,54.95,9600
1742888100,2025-03-25 13:05:00+05:30,54.95,55.6,54.2,54.7,4725
1742888400,2025-03-25 13:10:00+05:30,54.7,54.7,53.9,54.35,3150
