epoch_short,datetime_ist,open_short,high_short,low_short,close_short,volume_short,epoch_long,open_long,high_long,low_long,close_long,volume_long,price_diff,macd
1742787900,2025-03-24 09:15:00+05:30,40.4,43.45,40.0,41.8,37575,1742787900,50.5,50.5,46.2,47.25,58350,-5.450000000000003,0.0
1742788200,2025-03-24 09:20:00+05:30,41.5,43.0,41.15,41.6,14100,1742788200,47.2,48.9,46.9,47.4,27450,-5.799999999999997,-0.00027011383368691355
1742788500,2025-03-24 09:25:00+05:30,41.7,43.45,41.7,42.0,14400,1742788500,47.35,49.7,47.35,48.15,17250,-6.149999999999999,-0.000795332281669836
1742788800,2025-03-24 09:30:00+05:30,42.15,46.0,42.15,45.45,22050,1742788800,48.6,52.15,48.6,51.8,16650,-6.349999999999994,-0.0014455085980014104
1742789100,2025-03-24 09:35:00+05:30,45.45,47.55,44.65,46.8,18000,1742789100,52.45,54.5,51.2,53.65,10575,-6.850000000000001,-0.002444820143305826
1742789400,2025-03-24 09:40:00+05:30,47.2,47.2,43.45,44.5,7500,1742789400,53.95,54.05,49.3,50.95,15450,-6.450000000000003,-0.003078786568132763
1742789700,2025-03-24 09:45:00+05:30,44.5,46.4,43.8,44.25,13875,1742789700,50.95,52.7,49.5,50.5,13650,-6.25,-0.0035212882792956535
1742790000,2025-03-24 09:50:00+05:30,44.5,44.5,42.2,42.8,23475,1742790000,50.5,50.5,47.8,48.9,16800,-6.100000000000001,-0.0038210626821255644
1742790300,2025-03-24 09:55:00+05:30,42.7,42.7,41.25,41.55,35625,1742790300,48.55,48.55,46.5,47.2,20775,-5.650000000000006,-0.003754172955853896
1742790600,2025-03-24 10:00:00+05:30,41.55,42.15,41.0,41.35,14700,1742790600,47.2,47.75,46.55,47.1,13200,-5.75,-0.003765226503832153
1742790900,2025-03-24 10:05:00+05:30,41.5,42.55,41.15,41.35,13425,1742790900,47.1,48.15,46.8,47.05,7425,-5.699999999999996,-0.0037341808595208192
1742791200,2025-03-24 10:10:00+05:30,41.55,41.85,41.1,41.55,7050,1742791200,47.05,47.5,46.9,47.05,18975,-5.5,-0.003547603715989389
1742791500,2025-03-24 10:15:00+05:30,41.55,41.95,41.1,41.45,5700,1742791500,47.05,47.7,46.55,47.05,6375,-5.599999999999994,-0.003445687481949733
1742791800,2025-03-24 10:20:00+05:30,41.25,42.55,41.05,42.05,10425,1742791800,47.05,48.3,46.55,47.95,10350,-5.900000000000006,-0.0035782226198071143
1742792100,2025-03-24 10:25:00+05:30,42.05,42.35,41.25,42.0,6225,1742792100,48.0,48.0,46.65,47.3,11100,-5.299999999999997,-0.00323768176506789
1742792400,2025-03-24 10:30:00+05:30,42.0,42.9,41.9,42.5,4875,1742792400,47.3,48.3,47.3,48.0,6750,-5.5,-0.0030676527520583363
1742792700,2025-03-24 10:35:00+05:30,42.6,42.95,41.95,42.6,13500,1742792700,48.0,48.7,47.55,48.1,9375,-5.5,-0.002904572924594895
1742793000,2025-03-24 10:40:00+05:30,42.6,42.6,41.0,42.5,41550,1742793000,48.1,48.35,47.15,48.35,5775,-5.850000000000001,-0.003018301196552997
1742793300,2025-03-24 10:45:00+05:30,42.5,42.8,41.65,42.0,11250,1742793300,48.45,48.55,47.3,47.6,7050,-5.600000000000001,-0.002930529944292104
1742793600,2025-03-24 10:50:00+05:30,42.0,43.3,42.0,43.3,6000,1742793600,47.65,49.0,47.55,49.0,9900,-5.700000000000003,-0.0029224818091195814
1742793900,2025-03-24 10:55:00+05:30,43.3,43.3,41.4,42.25,16275,1742793900,49.0,49.0,46.65,47.75,9225,-5.5,-0.0027582684690754533
1742794200,2025-03-24 11:00:00+05:30,42.25,43.2,41.0,41.45,25200,1742794200,47.5,49.0,46.45,46.7,16800,-5.25,-0.0024079859634316136
1742794500,2025-03-24 11:05:00+05:30,41.45,41.75,40.95,41.1,13650,1742794500,46.9,47.25,46.45,46.75,8175,-5.649999999999999,-0.0023837401716120254
