epoch,datetime_ist,open,high,low,close,volume
1742787900,2025-03-24 09:15:00+05:30,88.65,89.95,82.95,83.15,47475
1742788200,2025-03-24 09:20:00+05:30,83.25,86.8,82.45,83.3,63825
1742788500,2025-03-24 09:25:00+05:30,83.95,86.8,83.7,84.8,26250
1742788800,2025-03-24 09:30:00+05:30,84.9,91.95,84.9,91.95,23625
1742789100,2025-03-24 09:35:00+05:30,91.95,94.0,88.7,94.0,10500
1742789400,2025-03-24 09:40:00+05:30,94.0,94.0,85.7,88.45,9600
1742789700,2025-03-24 09:45:00+05:30,87.85,91.55,85.75,86.3,15075
1742790000,2025-03-24 09:50:00+05:30,87.0,87.0,82.5,84.7,19275
1742790300,2025-03-24 09:55:00+05:30,84.7,84.7,79.8,80.45,60900
1742790600,2025-03-24 10:00:00+05:30,80.45,81.0,78.65,79.45,39675
1742790900,2025-03-24 10:05:00+05:30,79.45,81.05,79.0,80.35,18600
1742791200,2025-03-24 10:10:00+05:30,80.35,80.85,79.25,79.85,12450
1742791500,2025-03-24 10:15:00+05:30,80.05,80.95,79.0,79.0,18675
1742791800,2025-03-24 10:20:00+05:30,79.0,81.75,78.6,81.2,33300
1742792100,2025-03-24 10:25:00+05:30,81.2,81.2,77.25,80.5,23025
1742792400,2025-03-24 10:30:00+05:30,80.9,82.1,80.45,82.1,21900
1742792700,2025-03-24 10:35:00+05:30,82.1,82.1,80.45,81.25,13275
1742793000,2025-03-24 10:40:00+05:30,81.25,81.35,79.25,81.25,15750
1742793300,2025-03-24 10:45:00+05:30,81.3,82.0,79.65,80.25,7575
1742793600,2025-03-24 10:50:00+05:30,80.25,81.2,78.9,81.0,15750
1742793900,2025-03-24 10:55:00+05:30,81.0,81.0,77.95,79.1,16575
1742794200,2025-03-24 11:00:00+05:30,79.15,81.25,77.35,77.35,50100
1742794500,2025-03-24 11:05:00+05:30,77.35,78.5,76.9,78.2,14175
