epoch,datetime_ist,open,high,low,close,volume
1742787900,2025-03-24 09:15:00+05:30,101.45,113.1,99.8,112.3,61950
1742788200,2025-03-24 09:20:00+05:30,111.95,113.95,106.75,113.1,41850
1742788500,2025-03-24 09:25:00+05:30,112.5,112.5,107.75,108.35,30675
1742788800,2025-03-24 09:30:00+05:30,108.0,108.7,102.45,102.65,23100
1742789100,2025-03-24 09:35:00+05:30,101.95,106.05,101.7,102.0,10725
1742789400,2025-03-24 09:40:00+05:30,101.15,111.4,100.2,107.5,33225
1742789700,2025-03-24 09:45:00+05:30,108.1,115.0,107.75,114.25,31425
1742790000,2025-03-24 09:50:00+05:30,114.25,121.0,113.85,116.4,27600
1742790300,2025-03-24 09:55:00+05:30,116.0,129.35,116.0,128.45,23325
1742790600,2025-03-24 10:00:00+05:30,127.05,134.05,125.85,131.0,37650
1742790900,2025-03-24 10:05:00+05:30,131.6,132.6,128.7,130.15,36975
1742791200,2025-03-24 10:10:00+05:30,129.75,131.05,127.5,130.05,36075
1742791500,2025-03-24 10:15:00+05:30,130.15,136.35,129.25,136.25,26325
1742791800,2025-03-24 10:20:00+05:30,136.65,137.75,131.75,132.5,29850
1742792100,2025-03-24 10:25:00+05:30,132.3,138.15,132.0,137.65,22050
1742792400,2025-03-24 10:30:00+05:30,136.75,142.5,136.75,138.9,45000
1742792700,2025-03-24 10:35:00+05:30,138.9,147.7,138.9,145.05,28650
1742793000,2025-03-24 10:40:00+05:30,145.05,150.55,145.05,147.5,35625
1742793300,2025-03-24 10:45:00+05:30,147.5,152.8,145.8,152.75,7800
1742793600,2025-03-24 10:50:00+05:30,152.75,158.9,151.5,157.6,23925
1742793900,2025-03-24 10:55:00+05:30,157.6,175.75,157.6,175.75,61575
1742794200,2025-03-24 11:00:00+05:30,176.7,177.55,163.85,170.0,188400
1742794500,2025-03-24 11:05:00+05:30,170.0,170.0,159.15,159.25,133200
1742794800,2025-03-24 11:10:00+05:30,159.55,163.6,151.05,162.6,87375
1742795100,2025-03-24 11:15:00+05:30,161.95,163.55,154.55,156.8,28950
1742795400,2025-03-24 11:20:00+05:30,157.3,163.5,157.25,162.6,25575
1742795700,2025-03-24 11:25:00+05:30,162.6,167.3,161.5,165.5,42150
1742796000,2025-03-24 11:30:00+05:30,165.5,169.75,164.95,165.2,10950
1742796300,2025-03-24 11:35:00+05:30,165.2,165.25,151.85,152.15,33825
1742796600,2025-03-24 11:40:00+05:30,153.45,156.4,142.2,145.65,33075
1742796900,2025-03-24 11:45:00+05:30,146.25,158.0,146.25,155.85,8100
