Portfolio Name,Ticker,Buy Date,Buy Price,Quantity,Sell Date,Sell Price,Current Price,Current Value
ZERODHA-BEFORE2023,KEI,2018-04-06,406.9,15,,,4441.5,66622.5
ZERODHA-BEFORE2023,DBL,2018-04-06,"1,057.19",6,,,563.7,3382.2
ZERODHA-BEFORE2023,VENKEYS,2018-04-11,"4,258.50",4,,,2287.0,9148.0
ZERODHA-BEFORE2023,DABUR,2018-04-11,341.88,50,,,660.9,33045.0
ZERODHA-BEFORE2023,HERITGFOOD,2018-04-16,736.9,26,,,566.7,14734.2
ZERODHA-BEFORE2023,TORNTPHARM,2018-09-03,913.93,4,,,3451.7,13806.8
ZERODHA-BEFORE2023,SUNPHARMA,2018-09-03,663,12,,,1853.75,22245.0
ZERODHA-BEFORE2023,PGHL,2018-09-03,"3,479.95",2,,,5205.15,10410.3
ZERODHA-BEFORE2023,PEL,2018-09-03,"2,905.27",2,,,1119.1,2238.2
ZERODHA-BEFORE2023,IPCALAB,2018-09-03,385.85,20,,,1474.15,29483.0
ZERODHA-BEFORE2023,GLENMARK,2018-09-03,671.9,12,,,1753.7,21044.4
ZERODHA-BEFORE2023,ASTRAZEN,2018-09-03,"1,908.95",4,,,6799.6,27198.4
ZERODHA-BEFORE2023,ALKEM,2018-09-03,"2,129.45",4,,,6366.25,25465.0
ZERODHA-BEFORE2023,LTFOODS,2021-01-06,92.48,36,,,407.6,14673.6
ZERODHA-BEFORE2023,ESABINDIA,2021-06-16,"1,888.99",11,,,6188.95,68078.45
ZERODHA-BEFORE2023,GICRE,2021-06-17,204.6,100,,,393.45,39345.0
ZERODHA-BEFORE2023,BEML,2021-06-17,"1,378.62",14,,,3925.2,54952.8
ZERODHA-BEFORE2023,PRINCEPIPE,2021-09-09,719.7,30,,,579.3,17379.0
ZERODHA-BEFORE2023,GRASIM,2021-09-09,"1,588.52",12,,,2784.35,33412.2
ZERODHA-BEFORE2023,FSL,2021-09-16,203.2,97,,,311.05,30171.85
ZERODHA-BEFORE2023,CDSL,2021-09-16,"1,371.75",15,,,1381.45,20721.75
ZERODHA-BEFORE2023,CRISIL,2021-09-17,"2,916.20",7,,,4666.55,32665.85
ZERODHA-BEFORE2023,JBCHEPHARM,2021-09-27,934.9,22,,,1923.3,42312.6
ZERODHA-BEFORE2023,INTELLECT,2021-09-27,709.9,28,,,985.8,27602.4
ZERODHA-BEFORE2023,ICIL,2021-09-27,293.85,68,,,409.35,27835.8
ZERODHA-BEFORE2023,DIXON,2021-10-01,"4,830.30",4,,,13027.65,52110.6
ZERODHA-BEFORE2023,SPLPETRO,2021-10-05,379.35,52,,,855.85,44504.2
ZERODHA-BEFORE2023,JUBLFOOD,2021-10-13,889.98,25,,,679.05,16976.25
ZERODHA-BEFORE2023,DIVISLAB,2021-10-13,"5,279.05",4,,,5498.65,21994.6
ZERODHA-BEFORE2023,MANGLMCEM,2021-11-09,462.44,43,,,938.65,40361.95
ZERODHA-BEFORE2023,TORNTPHARM,2022-07-08,0.01,4,,,3451.7,13806.8
ZERODHA-BEFORE2023,HERITGFOOD,2023-02-22,5,26,,,566.7,14734.2
ZERODHA-BEFORE2023,SCILAL,2023-05-02,46.09,162,,,78.28,12681.36
AUG-2023,NATCOPHARM,2023-08-01,826.45,36,,,1582.5,56970.0
AUG-2023,MUTHOOTFIN,2023-08-01,"1,347.84",22,,,2013.05,44287.1
AUG-2023,KSL,2023-08-01,431.69,70,,,820.55,57438.5
AUG-2023,GULFOILLUB,2023-08-01,538,56,,,1364.55,76414.8
AUG-2023,DHANUKA,2023-08-01,756.8,40,,,1593.35,63734.0
AUG-2023,BSOFT,2023-08-01,433.15,70,,,661.0,46270.0
AUG-2023,BERGEPAINT,2023-08-01,701,43,,,622.65,26773.95
AUG-2023,APOLLOHOSP,2023-08-01,"5,040.00",6,,,7019.15,42114.9
AUG-2023,ADVENZYMES,2023-08-01,324.75,92,,,533.25,49059.0
SEP-2023,COFORGE,2023-09-01,"5,472.35",6,,,7013.75,42082.5
SEP-2023,SUNTV,2023-09-01,617.6,48,,,825.25,39612.0
